ENSEMBL,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000069636,42.73323388,0.540790045,0.603359382,0.896298394,0.370093417,0.557232641
ENSRNOG00000069637,4.780027871,-1.6118301,2.235546007,-0.721000639,0.470909121,0.649155433
ENSRNOG00000069635,1740.467944,0.029089686,0.322514843,0.090196425,0.928131125,0.960555971
ENSRNOG00000069632,31.99196117,0.874909787,0.665694558,1.314281117,0.188751619,0.352213786
ENSRNOG00000064201,0.825083568,2.073758971,3.981240071,0.520882673,0.602448506,NA
ENSRNOG00000064202,0.639025238,2.98562871,3.983832763,0.749436256,0.453594305,NA
ENSRNOG00000033136,6.684329398,0.629102807,1.340598144,0.469270235,0.638876488,0.782558047
ENSRNOG00000033134,326.9641119,-1.219854187,0.418707816,-2.913378113,0.003575414,0.017041081
ENSRNOG00000033133,968.5135164,0.031363612,0.191277015,0.16396958,0.869755092,0.927666293
ENSRNOG00000060919,1.013305483,0.347485484,2.56724373,0.135353523,0.892332369,NA
ENSRNOG00000060914,926.0433631,-0.54259004,0.189272077,-2.866719961,0.004147498,0.019084591
ENSRNOG00000060912,7504.213258,-0.093380685,0.177515735,-0.526041734,0.59885921,0.753601636
ENSRNOG00000033688,5264.161329,0.693856506,0.179428823,3.867029243,0.000110169,0.00104778
ENSRNOG00000026702,635.6514019,-1.846539586,0.239953167,-7.695416611,1.41E-14,1.98E-12
ENSRNOG00000061359,242.7051305,0.098564631,0.340521429,0.289452064,0.772235458,0.871742438
ENSRNOG00000061358,29.97897677,-0.795646784,0.713262845,-1.115502916,0.26463497,0.446023603
ENSRNOG00000026705,53.68442846,-0.207513386,0.785503242,-0.264178904,0.791642066,0.883097445
ENSRNOG00000026704,202.7183032,-0.977413059,0.529567814,-1.845680633,0.064938591,0.162381074
ENSRNOG00000033685,1.47577987,0.747736515,3.621743553,0.206457609,0.836433474,NA
ENSRNOG00000033686,17.34866862,0.406972838,0.957785972,0.424910001,0.670902284,0.805494627
ENSRNOG00000009192,894.8586835,-0.974771165,0.21050014,-4.630738803,3.64E-06,6.22E-05
ENSRNOG00000022466,813.9016678,-0.260969817,0.274007873,-0.952417219,0.34088543,0.528490796
ENSRNOG00000063870,3.050414374,0.149046401,3.694875489,0.04033868,0.967823116,NA
ENSRNOG00000063871,14.84832313,2.907934311,1.278561509,2.274379677,0.022943168,0.073398834
ENSRNOG00000022283,1.096946944,-3.409939104,3.942518774,-0.864913853,0.387086073,NA
ENSRNOG00000063265,0.146597432,-0.620448363,4.080472857,-0.152053055,0.87914509,NA
ENSRNOG00000063262,1093.303684,-0.385062472,0.250424507,-1.537638933,0.124136923,0.261330633
ENSRNOG00000063261,440.9822044,0.827467181,0.327521523,2.526451309,0.011522136,0.042745787
ENSRNOG00000022288,401.2429569,-0.351428621,0.292223105,-1.202603817,0.22912967,0.403896716
ENSRNOG00000022289,2203.256511,-0.221516442,0.171238631,-1.293612547,0.195799286,0.362303943
ENSRNOG00000063269,6.502720495,1.05316819,1.355662858,0.776865859,0.437237916,0.618964307
ENSRNOG00000063268,9.098986562,-2.923817347,1.348976006,-2.167434657,0.030201727,0.091100132
ENSRNOG00000060002,3.614308472,-1.308146981,2.326639685,-0.562247343,0.573947509,0.73351195
ENSRNOG00000060004,2.813495939,-0.690221019,1.759682417,-0.392241811,0.694879553,NA
ENSRNOG00000060005,7343.628715,-1.340049729,0.206430112,-6.491541925,8.50E-11,5.93E-09
ENSRNOG00000060008,1420.66008,0.192960129,0.217846826,0.885760572,0.37574656,0.563093245
ENSRNOG00000024705,2000.342721,-1.025848507,0.310008286,-3.309100283,0.000935963,0.00588078
ENSRNOG00000024707,912.4425878,1.38874073,0.380546685,3.649330775,0.000262924,0.002110364
ENSRNOG00000024703,4885.985811,0.534885208,0.148167603,3.610001083,0.000306196,0.002387133
ENSRNOG00000065639,387.5177489,-0.459911111,0.293111926,-1.569063112,0.116633234,0.250391347
ENSRNOG00000065633,43.92673197,-0.285048256,0.634166394,-0.44948496,0.653081855,0.793435498
ENSRNOG00000065630,778.4236987,-0.070572604,0.217136695,-0.325014639,0.745169992,0.853662523
ENSRNOG00000065631,0.411355104,-2.001278211,4.00096263,-0.500199176,0.616934838,NA
ENSRNOG00000065637,0.896074939,3.439311326,3.963206378,0.867810302,0.385498189,NA
ENSRNOG00000065985,0.921933595,3.498376885,3.960959896,0.883214417,0.377120434,NA
ENSRNOG00000065982,3.736453071,2.52117136,2.779391185,0.907094825,0.364356655,0.551571937
ENSRNOG00000064589,24141.70986,-0.826455034,1.308291453,-0.631705598,0.52757927,0.696195488
ENSRNOG00000064588,25.68251198,0.646553371,3.732465406,0.17322421,NA,NA
ENSRNOG00000006652,3576.068517,-0.015638936,0.159639689,-0.097963958,0.921960913,0.957802669
ENSRNOG00000064582,1299.368781,-5.211117744,1.337104209,-3.897316089,9.73E-05,0.000941746
ENSRNOG00000064585,1780.452584,1.131353805,0.20670923,5.473165383,4.42E-08,1.46E-06
ENSRNOG00000064584,4021.638654,0.124272807,0.167271573,0.742940387,0.457517773,0.637955932
ENSRNOG00000070749,51.75124878,1.730759879,1.126159711,1.536868937,0.124325408,0.261539647
ENSRNOG00000070740,411.5296387,1.453436372,0.345403408,4.207938717,2.58E-05,0.000318307
ENSRNOG00000070742,19.48800258,0.409325721,0.916642509,0.446548919,0.655200785,0.79513507
ENSRNOG00000070745,255.6376296,-2.208122678,0.460133983,-4.798868936,1.60E-06,3.09E-05
ENSRNOG00000070747,179.7608045,0.649877554,0.297644182,2.183404191,0.029006058,0.088287893
ENSRNOG00000030568,6435.809466,0.248597278,0.143137378,1.73677401,0.082427068,0.194676787
ENSRNOG00000019338,10.50182216,3.405153955,1.890139786,1.801535517,0.071618515,0.17498256
ENSRNOG00000058316,420.0906446,-0.197702614,0.220097982,-0.898248189,0.369053248,0.556207489
ENSRNOG00000031211,885.9544942,1.35040246,0.222573226,6.067227774,1.30E-09,6.74E-08
ENSRNOG00000031213,942.7182017,0.067192524,0.229794563,0.292402586,0.769978832,0.87045117
ENSRNOG00000017333,3.286913018,-4.98835257,2.538145091,-1.965353591,0.049373327,NA
ENSRNOG00000001452,10.2748829,0.27909516,1.009519126,0.276463469,0.782192114,0.877232661
ENSRNOG00000001453,8623.788844,0.622227569,0.205764746,3.023975589,0.002494766,0.012835498
ENSRNOG00000004563,2043.529916,-0.648533091,0.216311772,-2.99814053,0.002716324,0.013710213
ENSRNOG00000004560,165.9853364,1.035691521,0.418789504,2.473059879,0.01339617,0.047996123
ENSRNOG00000004566,5530.715989,0.737051283,0.136269884,5.408761354,6.35E-08,1.95E-06
ENSRNOG00000004564,313.2839504,0.852021817,0.460296146,1.851029658,0.064165287,0.160768596
ENSRNOG00000018279,1208.386124,-0.553108236,0.222535794,-2.485479862,0.012937691,0.046745998
ENSRNOG00000018272,1043.627633,0.88466308,0.213794432,4.137914495,3.50E-05,0.00040996
ENSRNOG00000018273,18411.18104,-0.574555107,0.148727964,-3.863127628,0.000111944,0.001059297
ENSRNOG00000018271,261.7179623,-2.08328538,1.917834925,-1.086269393,0.277359824,0.461054838
ENSRNOG00000018276,1087.639657,-0.031851666,0.219007865,-0.145436174,0.884366505,0.936395883
